"word","freq"
"atemlos",20
"oho",20
"nacht",15
"augen",10
"unsre",10
"ziehn",10
"beide",5
"bilder",5
"blick",5
"clubs",5
"einfach",5
"erwacht",5
"ewig",5
"geh",5
"gemacht",5
"gezeigt",5
"glücksgefühle",5
"großes",5
"hand",5
"haut",5
"heute",5
"irgendwie",5
"kino",5
"komm",5
"küsse",5
"liebe",5
"liebestattoo",5
"lösche",5
"macht",5
"neuer",5
"nie",5
"nimm",5
"raus",5
"schließe",5
"schwindelfrei",5
"spür",5
"stadt",5
"straßen",5
"tabu",5
"tag",5
"tausend",5
"teil",5
"unsterblich",5
"unzertrennlich",5
"vergisst",5
"zeit",5
"zwei",5
